,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,2018-04-09,64.489998,65.650002,64.16999799999999,64.790001,62.880230000000005,2733400,0.0
1,2018-04-10,65.309998,66.75,65.309998,66.199997,64.248665,3359600,1.9787009658021588
2,2018-04-11,65.5,65.730003,64.769997,64.940002,63.02581800000001,3989500,2.01940244781637
3,2018-04-12,65.339996,66.029999,65.260002,65.769997,63.831341,2229800,1.987380340005185
4,2018-04-13,66.089996,66.209999,65.360001,65.720001,63.782821999999996,2280600,2.0007607425325515
5,2018-04-16,66.360001,66.809998,66.099998,66.290001,64.336014,1894900,1.9914014181414779
6,2018-04-17,66.68,66.940002,66.010002,66.860001,64.889214,2944100,1.9914747234299324
7,2018-04-18,66.849998,67.68,65.410004,67.220001,65.23859399999999,3947400,1.994644451135905
8,2018-04-19,67.099998,67.480003,66.709999,66.980003,65.005676,2430000,2.0035831291318393
9,2018-04-20,67.059998,67.400002,66.760002,67.050003,65.073616,2890700,1.99895600302956
10,2018-04-23,67.309998,67.5,66.809998,67.18,65.199776,2824300,1.9980649449240846
11,2018-04-24,67.25,67.860001,65.809998,66.150002,64.20015,3787500,2.0155706420084463
12,2018-04-25,65.900002,66.58000200000001,65.199997,66.519997,64.559227,2914900,1.994437837993288
13,2018-04-26,68.41999799999999,70.150002,68.41999799999999,69.989998,67.926949,5460100,1.950421473079625
14,2018-04-27,70.040001,70.58000200000001,69.370003,70.209999,68.140472,3351300,1.9968665289398453
15,2018-04-30,70.18,70.800003,69.489998,69.5,67.451378,4030500,2.01021581294964
16,2018-05-01,69.480003,70.43,69.269997,70.150002,68.082237,3192900,1.9907341128799967
17,2018-05-02,69.900002,70.879997,69.620003,70.43,68.353989,3371000,1.9960244498083202
18,2018-05-03,69.889999,70.059998,68.970001,69.760002,67.703728,2710400,2.009604328853087
19,2018-05-04,69.379997,70.68,69.16999799999999,70.379997,68.30544300000001,1656300,1.9911907498376276
20,2018-05-07,70.519997,70.93,70.190002,70.33000200000001,68.256935,1580200,2.000710863053864
21,2018-05-08,70.150002,70.25,69.019997,69.449997,67.40287,3476600,2.012671058862681
22,2018-05-09,69.559998,69.730003,68.559998,69.32,67.276703,2286700,2.0018753173687247
23,2018-05-10,69.970001,70.639999,69.760002,70.599998,68.518967,2291600,1.9818697162002752
24,2018-05-11,70.449997,70.809998,70.199997,70.519997,68.44133000000001,2215000,2.001134444177586
25,2018-05-14,70.389999,71.699997,70.220001,71.199997,69.10127299999999,2981900,1.9904494377998359
26,2018-05-15,70.639999,71.050003,70.019997,70.449997,68.37338299999999,2304300,2.01064584857257
27,2018-05-16,70.43,71.379997,70.18,70.739998,68.65484599999999,2206300,1.9959004663811273
28,2018-05-17,70.870003,71.050003,70.220001,70.650002,68.56749,2709500,2.001273828697131
29,2018-05-18,70.739998,70.940002,70.370003,70.599998,68.518967,3478400,2.0007082719747387
30,2018-05-21,71.16999799999999,72.300003,71.16999799999999,72.099998,69.974747,3227700,1.979195561142734
31,2018-05-22,72.150002,72.389999,71.559998,71.720001,69.60595699999999,2515600,2.0052983406957843
32,2018-05-23,71.519997,72.379997,71.459999,72.349998,70.217384,2816700,1.9912923701808534
33,2018-05-24,72.349998,72.860001,71.82,72.410004,70.275635,5207400,1.9991713023520892
34,2018-05-25,72.43,73.040001,72.209999,72.529999,70.39209699999999,2537100,1.9983455811160287
35,2018-05-29,71.93,72.190002,71.029999,71.730003,69.615662,2074100,2.011152878384795
36,2018-05-30,72.08000200000001,72.370003,71.33000200000001,71.870003,69.751541,3023600,1.9980520384839835
37,2018-05-31,71.66999799999999,72.239998,70.779999,70.839996,68.934135,4969800,2.014539907653298
38,2018-06-01,71.410004,72.75,71.269997,72.699997,70.744095,3546500,1.974415390966247
39,2018-06-04,72.779999,74.480003,72.660004,74.199997,72.203743,5339100,1.9797843657594758
40,2018-06-05,74.139999,74.339996,73.489998,74.260002,72.262123,4334700,1.9991919607004587
41,2018-06-06,74.300003,75.360001,74.139999,75.279999,73.254684,3993000,1.9864506241558266
42,2018-06-07,75.279999,75.459999,73.93,74.349998,72.349701,2965500,2.0125084199733267
43,2018-06-08,74.33000200000001,74.839996,74.120003,74.779999,72.768127,3039600,1.9942497859621526
44,2018-06-11,74.860001,75.370003,74.5,75.190002,73.167099,2987200,1.9945471074731453
45,2018-06-12,75.029999,75.620003,74.769997,75.349998,73.322792,3591500,1.9978766290080063
46,2018-06-13,75.41999799999999,75.599998,74.459999,74.58000200000001,72.57351700000001,2770000,2.0103244298652605
47,2018-06-14,75.019997,75.5,74.730003,75.410004,73.381187,2573500,1.9889934762501802
48,2018-06-15,75.32,75.58000200000001,74.660004,75.220001,73.196304,3173000,2.0025259638058235
49,2018-06-18,74.58000200000001,74.800003,73.949997,74.300003,72.301048,2410100,2.0123822067678785
50,2018-06-19,73.66999799999999,74.190002,73.510002,74.16999799999999,72.174545,2726900,2.0017527976743374
51,2018-06-20,74.120003,74.349998,73.279999,73.33000200000001,71.357147,2371900,2.011455011279012
52,2018-06-21,73.559998,74.529999,73.370003,73.739998,71.756111,2830400,1.9944399781513418
53,2018-06-22,74.010002,74.860001,73.739998,74.32,72.320526,3249900,1.9921958826695374
54,2018-06-25,74.059998,74.129997,73.019997,73.589996,71.610146,3631800,2.009919880957732
55,2018-06-26,73.610001,73.910004,73.120003,73.139999,71.172264,2148300,2.0061525431522087
