Company,Value
BKR,0.0655017832530429
CARR,0.05908861424036749
AMD,0.05141448530374104
BA,0.04907716208888058
APA,0.047909717981882594
BBY,0.042425346591425495
BWA,0.041398604024195595
AMAT,0.04036122404610243
ABMD,0.03963188966588915
COG,0.037148261266301
KMX,0.03539989878308236
CVX,0.034568470816910724
APTV,0.031269896271791
CE,0.03042305803014056
AMZN,0.029865232542885423
CAH,0.027291085560131823
AAPL,0.02623284156880845
ALXN,0.024878667236904572
AKAM,0.024765483959044765
ALB,0.02402040344121481
BIIB,0.023328893373188775
ANET,0.02324013605872577
CAT,0.022952753281917815
AOS,0.021097741780768287
ANSS,0.01853821537496958
