Company,Value
A,
AAL,
AAP,
AAPL,
ABBV,
ABC,
ABMD,
ABT,
ACN,
ADBE,
ADI,
ADM,
AEE,
AEP,
AES,
AFL,
AIG,
AIZ,
AJG,
AKAM,
ALB,
ALGN,
ALK,
ALL,
ALLE,
