Company1,Company2,Value
1,1,1.0
1,2,0.8768289636025837
1,3,0.3808246913231214
1,4,-0.017816271621509155
1,5,-0.4377987104128827
1,6,0.758484037553296
1,7,0.5968282750341731
1,8,-0.7722809358436573
1,9,-0.8075370486310389
1,10,0.7651721527517098
1,11,0.41006110715963157
1,12,0.0029380425809324754
1,13,-0.7132470198547226
1,14,-0.6125286138291521
1,15,0.3528078605547125
1,16,-0.5637022479605778
1,17,0.5226866108208754
1,18,0.18183407888442077
1,19,-0.672155068739165
1,20,0.8532924887148173
1,21,-0.6255116542737715
1,22,-0.37721943102661065
1,23,-0.23096370752287215
1,24,-0.4443313302628237
1,25,0.7576591213440342
1,26,0.6105904676460183
1,27,0.04891537821964452
1,28,0.13677672982997557
1,29,-0.26570297319634334
1,30,0.9158577327456168
2,1,0.8768289636025837
2,2,1.0
2,3,0.2952548173048701
2,4,-0.016972882504763948
2,5,-0.4611382332525784
2,6,0.6532109159559838
2,7,0.42575287898993097
2,8,-0.7686822554433784
2,9,-0.7692848581529004
2,10,0.6875607083481796
2,11,0.23734201584261377
2,12,-0.17175331659114532
2,13,-0.7530176663922661
2,14,-0.7224472114957193
2,15,0.20366224655289508
2,16,-0.6424060795214972
2,17,0.35228889294921717
2,18,0.05242025708007172
2,19,-0.6849426280618252
2,20,0.8004702733679776
2,21,-0.6250604706736532
2,22,-0.4099230116902799
2,23,-0.2579303608585153
2,24,-0.4580043636742492
2,25,0.8052551721825724
2,26,0.6119341041163779
2,27,-0.06548777746393954
2,28,0.045263011649085375
2,29,-0.4034048597859813
2,30,0.9020041599365379
3,1,0.38082469132312136
3,2,0.29525481730487013
3,3,0.9999999999999999
3,4,-0.007761729306223738
3,5,-0.559366779399251
3,6,0.13982853562427008
3,7,0.6424564785670667
3,8,-0.6224126308674468
3,9,-0.04439124356228756
3,10,0.6578943777558703
3,11,0.8173637785766558
3,12,0.4808580398394906
3,13,0.03743652952638632
3,14,-0.11490487277339344
3,15,0.8230414611205079
3,16,-0.12644990163778683
3,17,0.5068824669860065
3,18,0.7962543984115272
3,19,-0.5764509686271737
3,20,0.5858474137974615
3,21,-0.3717398275628684
3,22,-0.506738711810664
3,23,-0.19327559962305682
3,24,-0.6071901908001573
3,25,0.3646986021827785
3,26,-0.08698807896663242
3,27,0.692748496311873
3,28,0.7253480147401926
3,29,-0.009728844549910031
3,30,0.47814489465357846
4,1,-0.017816271621509155
4,2,-0.016972882504763948
4,3,-0.0077617293062237375
4,4,1.0
4,5,0.09081867517026261
4,6,-0.02759729801665517
4,7,-0.019073110185261435
4,8,0.028880050760724245
4,9,0.016000592385283275
4,10,-0.04510934247389994
4,11,-0.01511716742872706
4,12,0.03468943128129919
4,13,-0.025905617754215387
4,14,0.09444571150586932
4,15,-0.03133472950001213
4,16,0.17194435879196251
4,17,0.05257109995675106
4,18,-0.02326486662105833
4,19,0.10967082808649124
4,20,-0.045013625087320465
4,21,0.004734628137853896
4,22,0.06675873651790097
4,23,0.13605287820851272
4,24,0.07822305698001197
4,25,-0.0453215467458505
4,26,0.07530326575847698
4,27,-0.03164099765914856
4,28,0.06970509792480062
4,29,0.13170827228013732
4,30,-0.0320022489262313
5,1,-0.4377987104128827
5,2,-0.46113823325257836
5,3,-0.559366779399251
5,4,0.09081867517026262
5,5,1.0
5,6,-0.33815360927213084
5,7,-0.3557117304584878
5,8,0.7322939850869484
5,9,0.07183937632770517
5,10,-0.5136982099142184
5,11,-0.31536809265631827
5,12,0.23915933241974116
5,13,0.06479381989979784
5,14,0.5379117955110383
5,15,-0.43837650506570247
5,16,0.7263327328084733
5,17,-0.003436995428305985
5,18,-0.3194437040128443
5,19,0.7512736601793442
5,20,-0.5127705419516442
5,21,0.0864503569377445
5,22,0.8862815733654869
5,23,0.7191930263499403
5,24,0.9309550143006244
5,25,-0.5607481012261657
5,26,0.1239531849778255
5,27,-0.2867570954662674
5,28,-0.19695631926025903
5,29,0.7140410614978318
5,30,-0.45880926493912916
6,1,0.7584840375532961
6,2,0.6532109159559838
6,3,0.1398285356242701
6,4,-0.02759729801665517
6,5,-0.33815360927213084
6,6,1.0
6,7,0.586911132204891
6,8,-0.5932965719417076
6,9,-0.7026153120406565
6,10,0.5381572039745267
6,11,0.1814127767381605
6,12,-0.24792390531328692
6,13,-0.6455032783523609
6,14,-0.5689582270252238
6,15,0.16783763110768263
6,16,-0.6147818240956194
6,17,0.38565150548550875
6,18,-0.015499490341696306
6,19,-0.5030719837993389
6,20,0.7256829484393404
6,21,-0.4699602842445931
6,22,-0.30173162631870754
6,23,-0.18827573578288137
6,24,-0.33762954239554016
6,25,0.7178721172888737
6,26,0.533798619924333
6,27,-0.11888144565414374
