Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-January-2021,6.60,6.66,6.40,6.54,6.531297308794274775,79927,232,522027.00,43228,54.08,0.26,-0.06
19-January-2021,6.55,6.81,6.42,6.53,6.565876192664433507,82693,163,542952.00,65277,78.94,0.39,-0.02
18-January-2021,6.99,6.99,6.29,6.58,6.572524146262992363,152301,408,1001002.00,84979,55.80,0.70,-0.41
15-January-2021,6.85,6.90,6.57,6.75,6.753165202318032731,117686,285,794753.00,78594,66.78,0.33,-0.10
14-January-2021,7.21,7.36,6.80,6.87,6.972351410600504005,97618,135,680627.00,56434,57.81,0.56,-0.34
13-January-2021,6.90,7.39,6.64,6.99,6.861514497375263700,81532,216,559433.00,47035,57.69,0.75,0.09
12-January-2021,6.60,6.91,6.60,6.68,6.720000257868203561,155118,384,1042393.00,76202,49.13,0.31,0.08
11-January-2021,7.70,7.70,6.74,6.85,6.933485279570879350,196122,458,1359809.00,136334,69.51,0.96,-0.85
8-January-2021,7.25,7.36,6.95,7.00,7.162289080821369330,174830,326,1252183.00,99351,56.83,0.41,-0.25
7-January-2021,7.55,7.80,7.25,7.29,7.388809495788429529,356874,467,2636874.00,181583,50.88,0.55,-0.26
6-January-2021,7.57,8.10,7.40,7.57,7.739125860791731139,456266,698,3531100.00,312396,68.47,0.70,0.00
5-January-2021,8.10,8.30,7.06,7.74,7.835246049390133990,282931,560,2216834.00,196870,69.58,1.24,-0.36
4-January-2021,8.05,8.30,8.01,8.09,8.155640321679341091,246954,497,2014068.00,183561,74.33,0.29,0.04
1-January-2021,8.06,8.20,7.79,7.96,8.057418084798097388,200146,491,1612660.00,149455,74.67,0.41,-0.10
31-December-2020,7.66,8.09,7.59,7.94,7.871995995697239891,321654,415,2532059.00,165645,51.50,0.50,0.28
30-December-2020,7.15,7.66,6.99,7.47,7.408319364251567641,402675,591,2983145.00,286513,71.15,0.67,0.32
29-December-2020,7.31,7.46,6.95,7.06,7.116204420667323666,71030,184,505464.00,47828,67.33,0.51,-0.25
28-December-2020,6.70,7.46,6.65,7.13,7.145725711639174890,224552,313,1604587.00,115161,51.28,0.81,0.43
24-December-2020,6.80,6.96,6.44,6.54,6.577354647632038717,107033,194,703994.00,89710,83.82,0.52,-0.26
23-December-2020,6.11,7.10,6.10,6.69,6.790937492838755509,261826,590,1778044.00,168855,64.49,1.00,0.58
22-December-2020,6.35,6.51,5.80,6.21,6.079841574494244405,213097,476,1295596.00,163446,76.70,0.71,-0.14
