Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-January-2021,72.00,73.90,69.20,71.05,71.148452526665500961,5719,33,406898.00,5152,90.09,4.70,-0.95
19-January-2021,73.25,73.35,71.10,72.15,71.340639269406392694,1095,8,78118.00,1045,95.43,2.25,-1.10
18-January-2021,77.50,77.50,70.00,73.95,71.756804997768853190,2241,16,160807.00,1991,88.84,7.50,-3.55
15-January-2021,75.00,77.40,73.25,74.00,74.068965517241379310,3045,18,225540.00,2957,97.11,4.15,-1.00
14-January-2021,79.15,79.15,70.05,75.00,75.935297885970531710,6244,30,474140.00,6017,96.36,9.10,-4.15
13-January-2021,71.00,77.65,70.05,77.60,74.457176911288949429,11746,50,874574.00,11571,98.51,7.60,6.60
12-January-2021,74.00,76.25,68.25,70.60,72.668723303274798291,2107,27,153113.00,1637,77.69,8.00,-3.40
11-January-2021,81.70,81.70,74.00,74.40,75.664055004796929964,6254,40,473203.00,4404,70.42,7.70,-7.30
8-January-2021,84.15,84.15,76.55,79.30,79.892702116115029842,7372,30,588969.00,7108,96.42,7.60,-4.85
7-January-2021,77.50,82.50,77.50,82.50,80.770684586308273834,7143,46,576945.00,6612,92.57,5.00,5.00
6-January-2021,76.00,80.00,76.00,79.90,78.605279698302954116,1591,21,125061.00,1448,91.01,4.00,3.90
5-January-2021,74.00,78.00,71.60,77.85,76.410149750415973377,8414,53,642915.00,7442,88.45,6.40,3.85
4-January-2021,77.00,78.95,75.00,78.10,77.285680861020121665,4274,41,330319.00,2826,66.12,3.95,1.10
1-January-2021,79.90,80.00,76.35,78.80,78.751007751937984496,3225,42,253972.00,2165,67.13,3.65,-1.10
31-December-2020,67.60,84.00,67.60,79.85,75.893015828936406553,14404,156,1093163.00,10285,71.40,16.40,12.25
30-December-2020,71.95,72.50,65.20,70.45,70.537121101186118026,6829,64,481698.00,5578,81.68,7.30,-1.50
29-December-2020,64.95,72.00,59.95,71.85,64.525505716798592788,2274,44,146731.00,2144,94.28,12.05,6.90
28-December-2020,60.00,60.00,60.00,60.00,60.000000000000000000,10576,35,634560.00,10576,100.00,0.00,0.00
24-December-2020,60.00,60.00,57.05,57.20,59.944954128440366972,5341,26,320166.00,5239,98.09,2.95,-2.80
23-December-2020,56.05,60.00,56.05,56.15,59.990043146365748423,3013,15,180750.00,3011,99.93,3.95,0.10
22-December-2020,55.00,60.00,55.00,60.00,59.095068493150684931,3650,28,215697.00,3085,84.52,5.00,5.00
21-December-2020,59.50,59.90,51.80,57.00,57.402306213965406790,1561,17,89605.00,1533,98.21,8.10,-2.50
18-December-2020,58.05,59.90,58.00,58.30,58.064220183486238532,1199,10,69619.00,1199,100.00,1.90,0.25
17-December-2020,57.50,59.00,57.05,57.25,57.144117647058823529,680,6,38858.00,680,100.00,1.95,-0.25
16-December-2020,56.00,58.50,56.00,57.00,57.390995260663507109,2110,13,121095.00,2101,99.57,2.50,1.00
15-December-2020,56.00,56.00,54.50,56.00,55.841605068637803590,947,6,52882.00,947,100.00,1.50,0.00
14-December-2020,60.00,60.00,56.00,57.95,57.524953789279112754,541,11,31121.00,541,100.00,4.00,-2.05
11-December-2020,56.00,58.00,56.00,56.20,56.077900552486187845,1810,9,101501.00,1805,99.72,2.00,0.20
10-December-2020,56.95,56.95,55.00,55.25,55.040000000000000000,250,5,13760.00,250,100.00,1.95,-1.70
9-December-2020,55.00,56.95,55.00,56.95,55.046168491194669205,2101,12,115652.00,2050,97.57,1.95,1.95
8-December-2020,55.00,57.95,55.00,56.10,56.031826022254540535,29567,13,1656693.00,28982,98.02,2.95,1.10
7-December-2020,55.00,57.00,54.00,56.60,55.567628547678422990,8421,28,467935.00,8220,97.61,3.00,1.60
4-December-2020,56.70,56.70,55.00,55.00,55.031192660550458715,1090,4,59984.00,1090,100.00,1.70,-1.70
3-December-2020,54.00,57.25,54.00,56.30,55.485394879192210602,2773,19,153861.00,1840,66.35,3.25,2.30
2-December-2020,57.95,57.95,53.00,53.20,54.438345266507557677,1257,16,68429.00,863,68.66,4.95,-4.75
1-December-2020,56.95,56.95,51.00,53.05,53.148812970469021424,1727,16,91788.00,1491,86.33,5.95,-3.90
27-November-2020,56.00,56.00,52.00,52.05,52.371370351502801833,1963,18,102805.00,1956,99.64,4.00,-3.95
26-November-2020,52.30,55.75,52.30,53.00,52.709964412811387900,562,18,29623.00,466,82.92,3.45,0.70
