Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
18-December-2020,13.01,13.06,13.01,13.06,13.049050632911392405,1264,2,16494.00,1264,100.00,0.05,0.05
14-December-2020,13.00,13.00,13.00,13.00,13.000000000000000000,2,2,26.00,2,100.00,0.00,0.00
9-December-2020,13.00,13.00,12.74,12.74,12.500000000000000000,2,2,25.00,2,100.00,0.26,-0.26
3-December-2020,12.74,12.74,12.74,12.74,12.733333333333333333,75,1,955.00,75,100.00,0.00,0.00
1-December-2020,12.74,12.74,12.74,12.74,12.500000000000000000,2,1,25.00,2,100.00,0.00,0.00
12-November-2020,13.40,13.40,13.40,13.40,13.400000000000000000,10,1,134.00,10,100.00,0.00,0.00
5-November-2020,13.36,13.36,13.36,13.36,13.333333333333333333,3,1,40.00,3,100.00,0.00,0.00
4-November-2020,12.73,12.73,12.73,12.73,12.000000000000000000,1,1,12.00,1,100.00,0.00,0.00
3-November-2020,13.28,13.94,12.63,12.73,12.725714285714285714,2625,6,33405.00,2625,100.00,1.31,-0.55
2-November-2020,12.65,13.28,12.02,13.28,12.181818181818181818,22,3,268.00,22,100.00,1.26,0.63
28-October-2020,12.65,12.65,12.65,12.65,12.000000000000000000,1,1,12.00,1,100.00,0.00,0.00
27-October-2020,12.05,12.05,12.05,12.05,12.048076923076923076,104,3,1253.00,104,100.00,0.00,0.00
26-October-2020,11.48,11.48,11.48,11.48,11.000000000000000000,2,1,22.00,2,100.00,0.00,0.00
22-October-2020,10.94,10.94,10.94,10.94,10.800000000000000000,5,1,54.00,5,100.00,0.00,0.00
20-October-2020,10.42,10.42,10.42,10.42,10.000000000000000000,1,1,10.00,1,100.00,0.00,0.00
19-October-2020,9.93,9.93,9.93,9.93,9.000000000000000000,1,1,9.00,1,100.00,0.00,0.00
18-September-2020,9.46,9.46,9.46,9.46,9.000000000000000000,1,1,9.00,1,100.00,0.00,0.00
17-September-2020,9.46,9.46,9.46,9.46,9.434782608695652173,23,1,217.00,23,100.00,0.00,0.00
15-September-2020,9.01,9.01,9.01,9.01,9.000000000000000000,1,1,9.00,1,100.00,0.00,0.00
14-September-2020,9.02,9.02,9.02,9.02,9.000000000000000000,7,1,63.00,7,100.00,0.00,0.00
11-September-2020,9.01,9.01,9.01,9.01,9.000000000000000000,1,1,9.00,1,100.00,0.00,0.00
9-September-2020,9.01,9.01,9.01,9.01,9.000000000000000000,1,1,9.00,1,100.00,0.00,0.00
13-August-2020,9.01,9.01,9.01,9.01,9.000000000000000000,10,2,90.00,10,100.00,0.00,0.00
7-August-2020,9.48,9.48,9.48,9.48,9.333333333333333333,3,1,28.00,3,100.00,0.00,0.00
31-July-2020,9.97,9.97,9.97,9.97,9.970000000000000000,100,1,997.00,100,100.00,0.00,0.00
8-July-2020,9.50,9.50,9.50,9.50,9.482758620689655172,29,1,275.00,29,100.00,0.00,0.00
7-July-2020,9.05,9.05,9.05,9.05,9.035714285714285714,28,1,253.00,28,100.00,0.00,0.00
22-June-2020,8.62,8.62,8.62,8.62,8.000000000000000000,1,1,8.00,1,100.00,0.00,0.00
17-June-2020,9.07,9.07,8.62,8.62,8.620000000000000000,150,3,1293.00,150,100.00,0.45,-0.45
12-June-2020,9.07,9.07,9.07,9.07,9.070000000000000000,700,1,6349.00,700,100.00,0.00,0.00
4-June-2020,9.54,9.54,9.54,9.54,9.000000000000000000,1,1,9.00,1,100.00,0.00,0.00
1-June-2020,9.53,9.53,9.53,9.53,9.000000000000000000,1,1,9.00,1,100.00,0.00,0.00
29-May-2020,9.52,9.52,9.52,9.52,9.000000000000000000,1,1,9.00,1,100.00,0.00,0.00
28-May-2020,9.89,9.89,9.89,9.89,9.666666666666666666,3,3,29.00,3,100.00,0.00,0.00
21-May-2020,10.40,10.40,10.40,10.40,10.285714285714285714,7,1,72.00,7,100.00,0.00,0.00
19-May-2020,11.49,11.49,10.93,10.93,11.000000000000000000,5,2,55.00,5,100.00,0.56,-0.56
11-May-2020,11.49,11.49,11.49,11.49,11.490000000000000000,100,1,1149.00,100,100.00,0.00,0.00
8-May-2020,12.08,12.08,12.08,12.08,12.080000000000000000,900,2,10872.00,900,100.00,0.00,0.00
