Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-January-2021,286.00,300.00,285.25,289.15,293.024614552339734920,7394,306,2166624.00,5367,72.59,14.75,3.15
5-January-2021,277.05,291.65,277.05,284.05,287.121654076241212174,22901,399,6575373.00,11296,49.33,14.60,7.00
4-January-2021,285.00,288.00,275.00,277.05,280.380246913580246913,7290,130,2043972.00,6363,87.28,13.00,-7.95
1-January-2021,278.05,287.00,272.05,282.85,282.729609721897639635,4279,166,1209800.00,3074,71.84,14.95,4.80
31-December-2020,281.05,282.00,270.50,277.80,274.389331210191082802,5024,288,1378532.00,3028,60.27,11.50,-3.25
30-December-2020,288.00,295.00,273.60,281.30,285.644481252823369974,6641,249,1896965.00,5099,76.78,21.40,-6.70
29-December-2020,265.00,283.90,263.20,281.85,274.589080877014665311,13774,272,3782190.00,10276,74.60,20.70,16.85
28-December-2020,279.80,279.80,261.00,264.60,266.628878648233486943,6510,258,1735754.00,3857,59.25,18.80,-15.20
24-December-2020,261.10,280.00,261.10,270.25,269.626664267722202231,5558,129,1498585.00,3744,67.36,18.90,9.15
23-December-2020,276.40,276.40,264.00,273.25,271.952043596730245231,5505,191,1497096.00,3803,69.08,12.40,-3.15
22-December-2020,242.15,277.45,242.15,270.95,260.715047077633682714,5629,195,1467565.00,3700,65.73,35.30,28.80
21-December-2020,268.95,272.00,252.00,252.80,264.497748489840746842,9105,233,2408252.00,6904,75.83,20.00,-16.15
18-December-2020,255.60,263.95,255.00,260.10,258.019138755980861244,3762,84,970668.00,2310,61.40,8.95,4.50
17-December-2020,259.40,270.00,251.05,260.65,257.991205380237972064,9665,133,2493485.00,8686,89.87,18.95,1.25
16-December-2020,251.00,260.00,250.05,251.05,252.626501200960768614,2498,95,631061.00,1901,76.10,9.95,0.05
15-December-2020,259.50,259.90,249.05,250.10,251.806847308678139875,5462,127,1375369.00,4619,84.57,10.85,-9.40
14-December-2020,267.00,270.80,254.00,254.70,259.926470588235294117,4352,134,1131200.00,3083,70.84,16.80,-12.30
11-December-2020,268.00,271.00,260.00,262.75,265.287680429674387378,2979,67,790292.00,2583,86.71,11.00,-5.25
10-December-2020,263.70,266.45,250.00,263.20,259.571841155234657039,1385,100,359507.00,877,63.32,16.45,-0.50
9-December-2020,275.95,275.95,260.00,263.70,264.419117647058823529,1224,58,323649.00,862,70.42,15.95,-12.25
8-December-2020,274.90,284.45,262.00,265.10,270.288809423643247791,4754,185,1284953.00,3202,67.35,22.45,-9.80
7-December-2020,262.00,277.35,238.45,270.15,262.961455872879536182,9314,313,2449223.00,6005,64.47,38.90,8.15
4-December-2020,265.95,266.00,245.00,252.15,252.190971752939586430,7399,321,1865961.00,4182,56.52,21.00,-13.80
3-December-2020,271.85,271.90,250.00,255.50,256.861636347342951877,11159,369,2866319.00,5968,53.48,21.90,-16.35
2-December-2020,262.90,262.90,255.00,262.45,262.808172280508006626,9055,136,2379728.00,6732,74.35,7.90,-0.45
1-December-2020,247.95,250.40,236.10,250.40,247.789175582127123977,3178,84,787474.00,2952,92.89,14.30,2.45
27-November-2020,238.90,245.00,230.20,238.50,238.926658045446148161,5413,154,1293310.00,4246,78.44,14.80,-0.40
26-November-2020,239.85,239.85,225.10,234.60,234.504582060538739239,3601,111,844451.00,2567,71.29,14.75,-5.25
25-November-2020,225.05,241.05,225.05,230.40,233.738616462346760070,4568,109,1067718.00,3149,68.94,16.00,5.35
24-November-2020,220.00,234.00,220.00,229.60,226.568833849329205366,4845,97,1097726.00,3672,75.79,14.00,9.60
23-November-2020,237.00,237.00,219.95,223.50,227.232683014139967782,5587,213,1269549.00,3339,59.76,17.05,-13.50
20-November-2020,228.60,236.70,225.20,229.00,231.464509394572025052,1916,92,443486.00,1227,64.04,11.50,0.40
19-November-2020,239.95,239.95,225.00,232.65,231.390387776810753312,10341,319,2392808.00,5751,55.61,14.95,-7.30
18-November-2020,233.45,236.15,218.00,232.10,225.006544316403471333,7029,210,1581571.00,4815,68.50,18.15,-1.35
17-November-2020,235.50,235.50,220.50,224.95,224.732434127979924717,6376,208,1432894.00,3988,62.55,15.00,-10.55
14-November-2020,229.00,231.70,221.00,231.45,230.593130779392338177,3028,84,698236.00,2733,90.26,10.70,2.45
13-November-2020,210.00,220.70,199.70,220.70,208.530221064582915915,14973,362,3122323.00,9498,63.43,21.00,10.70
12-November-2020,221.25,224.95,210.20,210.20,210.737613097802671262,6963,164,1467366.00,5624,80.77,14.75,-11.05
11-November-2020,240.55,240.55,221.25,221.25,224.705460562603419746,7252,271,1629564.00,5355,73.84,19.30,-19.30
10-November-2020,238.00,239.00,231.00,232.85,234.553935860058309037,2744,141,643616.00,1865,67.97,8.00,-5.15
9-November-2020,249.40,249.40,236.60,237.85,241.598667100130039011,6152,233,1486315.00,4774,77.60,12.80,-11.55
6-November-2020,255.00,263.65,247.65,249.05,252.237320574162679425,8360,314,2108704.00,5385,64.41,16.00,-5.95
5-November-2020,268.60,268.60,255.20,260.65,261.831243972999035679,1037,64,271519.00,784,75.60,13.40,-7.95
4-November-2020,259.80,260.00,250.50,258.55,256.463549522373051784,1989,52,510106.00,1701,85.52,9.50,-1.25
