,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
28,2018-10-22,69.459999,69.730003,66.190002,67.099998,65.462921,16809400,2.035171401942516
29,2018-10-29,68.150002,68.889999,61.049999,62.18,60.66296,37089300,2.0791250884528787
30,2018-11-05,62.419998,64.110001,61.759997999999996,63.48,61.93124399999999,19529600,1.979521109010712
31,2018-11-12,63.439999,66.910004,61.490002000000004,66.510002,64.887321,31319100,1.9544429122104072
32,2018-11-19,66.639999,66.720001,63.75,65.470001,63.872696,15143400,2.01588515326279
33,2018-11-26,65.889999,68.639999,65.150002,68.550003,66.877548,17754600,1.9550692652777855
34,2018-12-03,68.93,69.370003,64.760002,65.019997,63.611355,21193100,2.054291082172766
35,2018-12-10,64.989998,67.75,63.970001,65.699997,64.276634,16650900,1.989649923423893
36,2018-12-17,65.339996,65.970001,62.220001,62.900002,61.537292,28162800,2.0445150224319546
37,2018-12-24,62.48,66.0,61.400002,65.209999,63.797237,14515900,1.9645760307403166
38,2018-12-31,65.589996,66.809998,64.129997,66.5,65.059303,16450100,1.9806014887218042
39,2019-01-07,66.209999,67.68,65.269997,66.809998,65.362564,18679000,1.9953600058482268
40,2019-01-14,66.32,70.82,66.040001,70.629997,69.099823,21879600,1.945915345288773
41,2019-01-21,70.050003,70.58000200000001,68.690002,70.33000200000001,68.80632800000001,12076500,2.0042655337902593
42,2019-01-28,69.93,73.75,69.860001,72.129997,70.56732199999999,18295400,1.9750451258163786
43,2019-02-04,72.279999,72.699997,70.57,71.5,69.95096600000001,12106000,2.008811146853147
44,2019-02-11,71.739998,73.519997,71.599998,73.43,71.839157,12213600,1.9737164646602205
45,2019-02-18,73.16999799999999,74.83000200000001,73.16999799999999,74.68,73.062073,9341000,1.9832619175147295
46,2019-02-25,74.970001,76.099998,74.0,75.839996,74.19695300000001,15601200,1.9847046932861123
47,2019-03-04,76.18,76.25,73.400002,74.129997,72.70800799999999,14004000,2.023067571417816
48,2019-03-11,74.540001,77.129997,74.389999,76.940002,75.464111,15116300,1.9634779707959975
49,2019-03-18,77.139999,78.519997,76.5,77.239998,75.758354,11922200,1.9961160537575364
50,2019-03-25,77.269997,81.41999799999999,77.110001,81.309998,79.75029,16933900,1.949944655022621
51,2019-04-01,81.889999,82.25,80.050003,80.66999799999999,79.122559,14651800,2.0079335566613006
52,2019-04-08,79.800003,80.559998,79.0,79.32,77.79847,11547500,2.0170196419566313
53,2019-04-15,79.58000200000001,80.260002,73.379997,74.33000200000001,72.90418199999999,13926800,2.067133026580572
54,2019-04-22,74.08000200000001,77.010002,74.029999,76.18,74.718689,19432800,1.9757154371226044
55,2019-04-29,76.18,77.58000200000001,74.970001,77.300003,75.817223,12043500,1.9855109578715022
56,2019-05-06,76.07,77.529999,74.040001,75.940002,74.483299,12314000,2.0179088881246012
57,2019-05-13,75.220001,77.209999,74.949997,75.980003,74.522537,11651500,1.999473532529342
58,2019-05-20,75.720001,76.16999799999999,74.5,75.099998,73.659409,10482500,2.0117177766103267
59,2019-05-27,75.18,75.849998,72.41999799999999,73.440002,72.031258,8976200,2.022603430756987
60,2019-06-03,73.66999799999999,78.129997,73.449997,77.58000200000001,76.09184300000001,15018500,1.9466357322341912
61,2019-06-10,78.059998,78.91999799999999,76.93,77.93,76.654167,8115800,1.995508815603747
62,2019-06-17,77.940002,82.800003,77.849998,82.410004,81.060822,13890600,1.945637619432709
63,2019-06-24,82.470001,82.660004,79.41999799999999,81.900002,80.559166,12616100,2.0062271304950636
64,2019-07-01,82.739998,82.769997,80.83000200000001,82.010002,80.667366,6463200,1.9986587001912282
65,2019-07-08,81.849998,82.849998,81.139999,81.650002,80.313263,9536600,2.004409062966098
66,2019-07-15,81.779999,83.93,81.260002,83.099998,81.739525,12741700,1.982551190915793
67,2019-07-22,83.32,86.650002,82.529999,85.150002,83.755966,13673600,1.975924792109811
68,2019-07-29,85.199997,86.279999,83.290001,84.699997,83.313324,10523700,2.005312928169289
69,2019-08-05,83.690002,86.68,81.209999,85.970001,84.562546,10219400,1.9852273585526654
70,2019-08-12,85.879997,88.279999,85.400002,86.970001,85.546173,12184100,1.9885017823559643
