Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-January-2021,629.95,629.95,590.00,593.70,600.751552795031055900,483,45,290163.00,483,100.00,39.95,-36.25
5-January-2021,599.00,640.00,599.00,618.10,628.268156424581005586,179,18,112460.00,179,100.00,41.00,19.10
4-January-2021,589.00,635.00,589.00,630.00,594.411417322834645669,508,20,301961.00,508,100.00,46.00,41.00
1-January-2021,620.00,620.00,619.00,619.00,619.222222222222222222,36,4,22292.00,36,100.00,1.00,-1.00
31-December-2020,614.95,620.00,586.50,620.00,616.327510917030567685,229,13,141139.00,229,100.00,33.50,5.05
30-December-2020,627.95,627.95,586.15,614.95,601.228723404255319148,188,17,113031.00,188,100.00,41.80,-13.00
29-December-2020,588.00,639.85,588.00,616.95,596.621359223300970873,103,22,61452.00,103,100.00,51.85,28.95
28-December-2020,620.10,620.10,592.05,617.00,606.660000000000000000,50,8,30333.00,50,100.00,28.05,-3.10
24-December-2020,566.05,624.50,566.05,619.25,608.685950413223140495,121,18,73651.00,121,100.00,58.45,53.20
23-December-2020,594.95,594.95,550.00,594.95,574.481927710843373493,166,21,95364.00,166,100.00,44.95,0.00
22-December-2020,610.00,610.00,569.60,570.00,594.391304347826086956,46,14,27342.00,46,100.00,40.40,-40.00
21-December-2020,619.80,619.80,584.25,599.55,600.295620437956204379,274,22,164481.00,274,100.00,35.55,-20.25
18-December-2020,624.80,627.00,590.00,614.95,617.522842639593908629,197,26,121652.00,197,100.00,37.00,-9.85
17-December-2020,639.45,639.45,585.00,597.70,623.006802721088435374,294,32,183164.00,294,100.00,54.45,-41.75
16-December-2020,602.00,631.00,572.05,609.00,625.031746031746031746,693,53,433147.00,693,100.00,58.95,7.00
15-December-2020,586.00,608.95,565.65,601.10,585.201030927835051546,194,21,113529.00,194,100.00,43.30,15.10
14-December-2020,614.05,620.00,572.50,587.85,591.989547038327526132,287,29,169901.00,287,100.00,47.50,-26.20
11-December-2020,638.30,638.30,581.25,602.00,599.358638743455497382,382,31,228955.00,382,100.00,57.05,-36.30
10-December-2020,628.30,628.30,570.55,607.95,611.036016949152542372,472,49,288409.00,472,100.00,57.75,-20.35
9-December-2020,598.40,598.40,570.10,598.40,593.238505747126436781,348,29,206447.00,348,100.00,28.30,0.00
8-December-2020,544.00,569.95,543.25,569.95,549.375358166189111747,349,13,191732.00,349,100.00,26.70,25.95
7-December-2020,516.90,543.25,491.55,543.25,524.424063116370808678,507,42,265883.00,507,100.00,51.70,26.35
4-December-2020,516.50,527.00,516.50,517.40,518.339160839160839160,572,33,296490.00,572,100.00,10.50,0.90
3-December-2020,527.00,527.00,527.00,527.00,527.000000000000000000,121,9,63767.00,121,100.00,0.00,0.00
2-December-2020,537.75,537.75,537.75,537.75,537.745454545454545454,165,10,88728.00,165,100.00,0.00,0.00
1-December-2020,571.00,571.00,548.70,548.70,550.122941822173435784,911,40,501162.00,911,100.00,22.30,-22.30
27-November-2020,570.95,570.95,550.10,559.85,560.694991055456171735,1118,39,626857.00,1118,100.00,20.85,-11.10
26-November-2020,569.30,569.30,547.00,560.90,556.203094777562862669,517,54,287557.00,517,100.00,22.30,-8.40
25-November-2020,558.15,558.15,536.35,558.15,553.624704956726986624,1271,158,703657.00,1271,100.00,21.80,0.00
24-November-2020,547.25,547.25,547.25,547.25,547.250000000000000000,80,2,43780.00,80,100.00,0.00,0.00
23-November-2020,536.55,536.55,536.55,536.55,536.547368421052631578,285,12,152916.00,285,100.00,0.00,0.00
20-November-2020,526.05,526.05,526.05,526.05,526.047297297297297297,148,5,77855.00,148,100.00,0.00,0.00
19-November-2020,515.75,515.75,515.75,515.75,515.747967479674796747,369,6,190311.00,369,100.00,0.00,0.00
18-November-2020,505.65,505.65,505.65,505.65,505.642201834862385321,109,5,55115.00,109,100.00,0.00,0.00
17-November-2020,495.75,495.75,495.75,495.75,495.750000000000000000,536,10,265722.00,536,100.00,0.00,0.00
14-November-2020,486.05,486.05,486.05,486.05,486.048543689320388349,103,5,50063.00,103,100.00,0.00,0.00
13-November-2020,457.95,476.55,457.95,476.55,459.070869565217391304,2300,58,1055863.00,2300,100.00,18.60,18.60
12-November-2020,467.25,467.25,467.25,467.25,467.250000000000000000,88,8,41118.00,88,100.00,0.00,0.00
11-November-2020,476.75,476.75,476.75,476.75,476.743902439024390243,82,7,39093.00,82,100.00,0.00,0.00
10-November-2020,486.45,486.45,486.45,486.45,486.442307692307692307,104,3,50590.00,104,100.00,0.00,0.00
9-November-2020,496.35,496.35,496.35,496.35,496.342857142857142857,105,7,52116.00,105,100.00,0.00,0.00
6-November-2020,506.45,506.45,506.45,506.45,506.438356164383561643,73,5,36970.00,73,100.00,0.00,0.00
5-November-2020,527.50,527.50,516.75,516.75,519.515081206496519721,862,58,447822.00,862,100.00,10.75,-10.75
4-November-2020,527.25,527.25,527.25,527.25,527.243243243243243243,37,4,19508.00,37,100.00,0.00,0.00
3-November-2020,538.00,538.00,538.00,538.00,538.000000000000000000,31,5,16678.00,31,100.00,0.00,0.00
2-November-2020,548.95,548.95,548.95,548.95,548.944444444444444444,108,7,59286.00,108,100.00,0.00,0.00
30-October-2020,560.15,560.15,560.15,560.15,560.142857142857142857,91,4,50973.00,91,100.00,0.00,0.00
29-October-2020,571.55,571.55,571.55,571.55,571.500000000000000000,6,3,3429.00,6,100.00,0.00,0.00
28-October-2020,583.20,583.20,583.20,583.20,583.000000000000000000,4,2,2332.00,4,100.00,0.00,0.00
27-October-2020,595.10,595.10,595.10,595.10,595.089887640449438202,89,5,52963.00,89,100.00,0.00,0.00
26-October-2020,607.20,607.20,607.20,607.20,607.196078431372549019,51,4,30967.00,51,100.00,0.00,0.00
23-October-2020,619.55,619.55,619.55,619.55,619.540983606557377049,61,5,37792.00,61,100.00,0.00,0.00
22-October-2020,632.15,632.15,632.15,632.15,632.115384615384615384,26,5,16435.00,26,100.00,0.00,0.00
21-October-2020,645.05,645.05,645.05,645.05,645.000000000000000000,17,8,10965.00,17,100.00,0.00,0.00
20-October-2020,685.00,685.00,658.20,658.20,667.747841105354058721,1737,112,1159878.00,1737,100.00,26.80,-26.80
19-October-2020,671.60,671.60,671.60,671.60,671.597701149425287356,348,17,233716.00,348,100.00,0.00,0.00
16-October-2020,658.45,658.45,658.45,658.45,658.448051948051948051,154,8,101401.00,154,100.00,0.00,0.00
15-October-2020,645.55,645.55,645.55,645.55,645.544973544973544973,189,18,122008.00,189,100.00,0.00,0.00
14-October-2020,627.50,632.90,627.50,632.90,632.541666666666666666,72,15,45543.00,72,100.00,5.40,5.40
13-October-2020,619.95,620.50,619.95,620.50,620.449404761904761904,336,42,208471.00,336,100.00,0.55,0.55
12-October-2020,606.00,608.35,602.50,608.35,607.905027932960893854,358,36,217630.00,358,100.00,5.85,2.35
9-October-2020,596.00,596.45,573.15,596.45,590.755672823218997361,1895,83,1119482.00,1895,100.00,23.30,0.45
8-October-2020,584.80,584.80,584.80,584.80,584.797619047619047619,252,11,147369.00,252,100.00,0.00,0.00
7-October-2020,573.35,573.35,573.35,573.35,573.346153846153846153,26,2,14907.00,26,100.00,0.00,0.00
6-October-2020,570.00,570.65,548.35,562.15,561.088479809976247030,3368,202,1889746.00,3368,100.00,22.30,-7.85
5-October-2020,559.50,559.50,559.50,559.50,559.500000000000000000,32,4,17904.00,32,100.00,0.00,0.00
1-October-2020,532.90,532.90,532.90,532.90,532.897959183673469387,98,5,52224.00,98,100.00,0.00,0.00
30-September-2020,507.55,507.55,507.55,507.55,507.547368421052631578,95,4,48217.00,95,100.00,0.00,0.00
29-September-2020,483.40,483.40,483.00,483.40,483.396846254927726675,1522,87,735730.00,1522,100.00,0.40,0.00
28-September-2020,460.40,460.40,460.40,460.40,460.400000000000000000,20,3,9208.00,20,100.00,0.00,0.00
25-September-2020,438.50,438.50,438.50,438.50,438.500000000000000000,132,3,57882.00,132,100.00,0.00,0.00
24-September-2020,416.00,417.65,378.00,417.65,403.587301587301587301,1512,121,610224.00,1512,100.00,39.65,1.65
23-September-2020,397.80,397.80,397.80,397.80,397.800000000000000000,85,4,33813.00,85,100.00,0.00,0.00
22-September-2020,378.80,378.90,378.80,378.90,378.886310904872389791,431,12,163300.00,431,100.00,0.10,0.10
21-September-2020,360.90,360.90,360.90,360.90,360.897142857142857142,175,8,63157.00,175,100.00,0.00,0.00
18-September-2020,343.75,343.75,327.40,343.75,343.501622791200865488,2773,56,952530.00,2773,100.00,16.35,0.00
17-September-2020,327.40,327.40,327.40,327.40,327.398176291793313069,329,15,107714.00,329,100.00,0.00,0.00
16-September-2020,311.85,311.85,311.85,311.85,311.849809885931558935,1052,6,328066.00,1052,100.00,0.00,0.00
14-September-2020,299.20,299.20,295.00,297.00,298.735294117647058823,34,7,10157.00,34,100.00,4.20,-2.20
11-September-2020,285.25,285.25,285.20,285.20,285.222222222222222222,9,3,2567.00,9,100.00,0.05,-0.05
10-September-2020,281.00,299.95,280.25,299.95,282.370000000000000000,100,6,28237.00,100,100.00,19.70,18.95
9-September-2020,315.50,315.50,285.50,295.00,295.433962264150943396,53,4,15658.00,53,100.00,30.00,-20.50
8-September-2020,283.60,300.50,283.60,300.50,291.530864197530864197,81,11,23614.00,81,100.00,16.90,16.90
4-September-2020,285.00,298.50,285.00,298.50,288.673076923076923076,52,7,15011.00,52,100.00,13.50,13.50
1-September-2020,298.00,300.00,295.20,300.00,298.770212765957446808,235,9,70211.00,235,100.00,4.80,2.00
31-August-2020,304.10,324.00,304.00,310.70,313.831932773109243697,119,11,37346.00,119,100.00,20.00,6.60
28-August-2020,323.50,323.50,320.00,320.00,320.232558139534883720,43,3,13770.00,43,100.00,3.50,-3.50
27-August-2020,322.30,324.50,322.30,324.50,324.100000000000000000,220,3,71302.00,220,100.00,2.20,2.20
