Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-January-2021,80.65,84.65,78.55,80.20,82.841219258746103221,14435,82,1195813.00,11617,80.48,6.10,-0.45
5-January-2021,81.40,81.60,78.50,80.65,80.478335373317013463,16340,93,1315016.00,15416,94.35,3.10,-0.75
4-January-2021,78.45,78.45,72.60,77.75,76.929412776201530392,11631,77,894766.00,7901,67.93,5.85,-0.70
1-January-2021,72.00,74.75,72.00,74.75,74.735722985905689925,28735,51,2147531.00,26135,90.95,2.75,2.75
31-December-2020,71.00,71.20,68.10,71.20,71.081625026692291266,18732,44,1331501.00,17558,93.73,3.10,0.20
30-December-2020,63.00,67.85,63.00,67.85,67.369419727735949501,26298,107,1771681.00,23462,89.22,4.85,4.85
29-December-2020,61.30,61.70,55.00,61.70,61.444919036083131454,31372,87,1927650.00,27910,88.96,6.70,0.40
28-December-2020,56.00,56.10,52.85,56.10,55.685143742468583232,11618,49,646950.00,11116,95.68,3.25,0.10
24-December-2020,48.15,51.00,48.00,51.00,48.961143224149004495,3114,10,152465.00,2814,90.37,3.00,2.85
22-December-2020,49.90,52.85,49.90,50.00,49.976023976023976023,2002,6,100052.00,2000,99.90,2.95,0.10
21-December-2020,50.00,50.00,48.60,48.60,48.637590602349412646,4001,21,194599.00,3801,95.00,1.40,-1.40
18-December-2020,53.30,53.30,45.20,48.55,47.701149425287356321,1653,42,78850.00,871,52.69,8.10,-4.75
17-December-2020,49.00,50.00,49.00,49.70,49.347415826720995067,4663,21,230107.00,4663,100.00,1.00,0.70
16-December-2020,53.60,53.60,47.05,48.65,48.844844305570520418,9281,44,453329.00,7877,84.87,6.55,-4.95
15-December-2020,53.50,59.25,48.60,48.75,48.919876300253022209,17785,79,870040.00,17023,95.72,10.65,-4.75
14-December-2020,53.80,57.80,53.50,53.95,53.948148148148148148,270,5,14566.00,250,92.59,4.30,0.15
11-December-2020,53.65,61.50,53.60,58.95,54.521625163826998689,763,11,41600.00,559,73.26,7.90,5.30
10-December-2020,59.10,59.10,59.00,59.00,59.000000000000000000,1001,3,59059.00,1001,100.00,0.10,-0.10
9-December-2020,58.00,59.00,58.00,59.00,58.611768927161822748,2787,13,163351.00,2787,100.00,1.00,1.00
8-December-2020,53.50,58.70,52.30,58.00,53.842053789731051344,2045,16,110107.00,1442,70.51,6.40,4.50
7-December-2020,58.90,61.70,54.00,54.35,56.602951510892480674,2846,44,161092.00,2044,71.82,7.70,-4.55
4-December-2020,56.35,59.00,56.35,58.85,58.873741496598639455,3675,16,216361.00,3515,95.65,2.65,2.50
3-December-2020,56.35,56.35,56.00,56.35,56.339103554868624420,3235,17,182257.00,3235,100.00,0.35,0.00
2-December-2020,51.45,53.70,51.45,53.70,52.912756113681427627,1513,11,80057.00,1513,100.00,2.25,2.25
1-December-2020,48.00,51.45,48.00,51.15,51.004855491329479768,4325,19,220596.00,4245,98.15,3.45,3.15
27-November-2020,49.00,49.00,48.90,49.00,48.996711878339498561,2433,5,119209.00,2353,96.71,0.10,0.00
26-November-2020,49.50,49.60,47.50,47.75,47.915894511760513186,1403,21,67226.00,883,62.94,2.10,-1.75
25-November-2020,49.00,51.90,49.00,49.00,49.027566539923954372,1052,9,51577.00,1052,100.00,2.90,0.00
24-November-2020,51.00,51.00,49.10,50.00,49.683636363636363636,1650,9,81978.00,1550,93.94,1.90,-1.00
23-November-2020,48.45,53.30,48.45,51.50,49.574958813838550247,607,11,30092.00,597,98.35,4.85,3.05
20-November-2020,53.50,53.50,51.00,51.00,51.001480384900074019,1351,4,68903.00,1351,100.00,2.50,-2.50
19-November-2020,54.00,54.70,50.90,51.20,52.852348993288590604,149,8,7875.00,81,54.36,3.80,-2.80
18-November-2020,49.00,52.50,48.30,52.50,51.854845249358021354,7399,31,383674.00,6573,88.84,4.20,3.50
17-November-2020,50.00,53.90,49.60,50.05,51.762553802008608321,9758,28,505099.00,8678,88.93,4.30,0.05
14-November-2020,52.40,52.40,52.00,52.15,52.159259259259259259,810,7,42249.00,810,100.00,0.40,-0.25
13-November-2020,48.75,51.90,48.45,51.15,48.754202192448233861,12315,23,600408.00,12022,97.62,3.45,2.40
12-November-2020,50.70,54.80,50.70,51.00,50.712903959945380063,8788,22,445665.00,8763,99.72,4.10,0.30
11-November-2020,53.35,53.35,53.35,53.35,53.350000000000000000,680,3,36278.00,680,100.00,0.00,0.00
10-November-2020,59.05,61.95,56.10,56.15,59.937567665102850956,8313,39,498261.00,7864,94.60,5.85,-2.90
9-November-2020,60.10,64.80,58.90,59.05,61.311367558239861949,9272,50,568479.00,7950,85.74,5.90,-1.05
6-November-2020,63.00,63.50,59.50,61.95,62.521838675589996477,5678,22,354999.00,4927,86.77,4.00,-1.05
5-November-2020,62.50,62.50,58.00,60.60,59.802777777777777777,5760,39,344464.00,4425,76.82,4.50,-1.90
4-November-2020,59.85,62.45,59.85,60.60,61.849636733507701249,17205,70,1064123.00,13285,77.22,2.60,0.75
3-November-2020,59.50,59.85,57.35,59.50,59.430560928433268858,5170,20,307256.00,4650,89.94,2.50,0.00
2-November-2020,58.35,58.40,56.30,57.00,57.022399310790437217,4643,16,264755.00,4322,93.09,2.10,-1.35
30-October-2020,58.40,58.90,56.00,58.35,56.762856501235122389,4453,30,252765.00,4293,96.41,2.90,-0.05
29-October-2020,56.00,60.40,55.70,56.10,58.217486818980667838,2276,20,132503.00,1820,79.96,4.70,0.10
28-October-2020,62.25,62.25,57.45,57.55,57.697963272120200333,14975,49,864027.00,14064,93.92,4.80,-4.70
27-October-2020,60.45,60.45,60.00,60.45,60.407141811795697351,13666,60,825524.00,13259,97.02,0.45,0.00
26-October-2020,57.60,57.60,57.55,57.60,57.592879746835443037,12640,61,727974.00,12640,100.00,0.05,0.00
23-October-2020,54.90,54.90,51.05,54.90,54.888415184061654505,12197,38,669474.00,10938,89.68,3.85,0.00
22-October-2020,52.30,52.30,52.30,52.30,52.299971444888635065,7004,19,366309.00,7004,100.00,0.00,0.00
21-October-2020,49.85,49.85,49.85,49.85,49.850000000000000000,2360,7,117646.00,2360,100.00,0.00,0.00
20-October-2020,47.50,47.50,45.00,47.50,47.345238095238095238,2100,13,99425.00,2100,100.00,2.50,0.00
19-October-2020,43.60,45.80,43.50,45.25,45.250332889480692410,751,6,33983.00,751,100.00,2.30,1.65
16-October-2020,43.00,44.05,43.00,43.65,43.465833333333333333,1200,9,52159.00,1100,91.67,1.05,0.65
15-October-2020,44.00,44.05,44.00,44.05,44.021551724137931034,232,4,10213.00,232,100.00,0.05,0.05
14-October-2020,44.10,46.30,44.05,46.20,44.292746113989637305,1544,15,68388.00,1442,93.39,2.25,2.10
13-October-2020,45.00,49.35,44.65,46.35,45.054444444444444444,1800,16,81098.00,1750,97.22,4.70,1.35
12-October-2020,48.50,48.50,44.50,47.00,46.916666666666666666,12,3,563.00,12,100.00,4.00,-1.50
9-October-2020,44.10,46.50,44.10,46.50,46.366631243358129649,941,7,43631.00,941,100.00,2.40,2.40
8-October-2020,44.50,45.00,44.10,44.35,44.400000000000000000,700,3,31080.00,700,100.00,0.90,-0.15
