Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-January-2021,208.80,208.80,195.35,201.05,202.023885934348065285,87248,1506,17626180.00,25923,29.71,13.45,-7.75
5-January-2021,177.00,208.00,177.00,201.05,199.561858845999815162,129844,3872,25911910.00,42786,32.95,31.00,24.05
4-January-2021,192.80,201.15,187.40,190.60,192.282081354351816777,137276,1502,26395715.00,85942,62.61,13.75,-2.20
1-January-2021,165.55,194.80,155.05,189.35,182.621386468778620576,170332,4040,31106266.00,54296,31.88,39.75,23.80
31-December-2020,164.25,169.85,163.25,165.45,166.184979358526516354,44086,1042,7326431.00,13627,30.91,6.60,1.20
30-December-2020,167.50,167.50,159.15,163.10,163.587522135948780820,29364,308,4803584.00,2777,9.46,8.35,-4.40
29-December-2020,160.00,169.00,158.90,167.20,164.718598253797392656,83610,1564,13772122.00,31119,37.22,10.10,7.20
28-December-2020,154.00,162.30,154.00,159.45,159.685365803151725994,48291,873,7711366.00,6111,12.65,8.30,5.45
24-December-2020,159.00,165.00,155.60,156.50,157.755556086032799407,41891,656,6608538.00,6839,16.33,9.40,-2.50
23-December-2020,154.90,158.15,154.30,157.20,156.553393002441008950,30725,283,4810103.00,2359,7.68,3.85,2.30
22-December-2020,142.90,160.00,142.90,154.90,151.419764011799410029,33900,358,5133130.00,5273,15.55,17.10,12.00
21-December-2020,164.60,164.60,146.30,149.40,157.447864656551456687,41258,804,6495984.00,8367,20.28,18.30,-15.20
18-December-2020,164.00,164.00,158.15,159.90,160.896620020130523718,30799,297,4955455.00,3085,10.02,5.85,-4.10
17-December-2020,164.00,165.70,161.70,162.20,163.366019726376073814,31430,304,5134594.00,4951,15.75,4.00,-1.80
16-December-2020,165.50,166.00,162.90,164.65,164.604047479014061915,37406,327,6157179.00,3115,8.33,3.10,-0.85
15-December-2020,164.85,165.00,162.20,162.65,163.154320356936071659,29361,450,4790374.00,1908,6.50,2.80,-2.20
14-December-2020,165.95,167.00,160.65,164.85,163.732322243474855791,66397,1410,10871335.00,24292,36.59,6.35,-1.10
11-December-2020,167.50,167.55,160.00,161.00,163.602843750000000000,32000,578,5235291.00,5765,18.02,7.55,-6.50
10-December-2020,158.10,165.00,157.00,163.50,160.761490557950734941,39663,719,6376283.00,11075,27.92,8.00,5.40
9-December-2020,158.95,163.85,158.20,159.65,160.902055622732769044,43831,935,7052498.00,9190,20.97,5.65,0.70
8-December-2020,162.70,167.70,155.00,159.15,158.778173992366520294,494401,1899,78500088.00,391641,79.22,12.70,-3.55
7-December-2020,159.00,172.00,158.40,166.30,166.260512006484514843,118436,2459,19691230.00,43388,36.63,13.60,7.30
4-December-2020,157.50,161.95,157.05,158.20,158.337939299940075434,28369,378,4491889.00,4319,15.22,4.90,0.70
3-December-2020,152.80,159.00,152.60,156.80,154.282795325078227380,37391,713,5768788.00,10642,28.46,6.40,4.00
2-December-2020,154.00,154.25,152.25,152.80,153.434644194756554307,26700,300,4096705.00,2691,10.08,2.00,-1.20
1-December-2020,154.15,156.65,153.35,153.95,154.627047939444911690,29725,429,4596289.00,5798,19.51,3.30,-0.20
27-November-2020,154.00,155.85,152.95,154.25,154.691558314019719527,25457,392,3937983.00,4877,19.16,2.90,0.25
26-November-2020,152.70,154.35,152.50,153.80,153.245595603685146274,24748,209,3792522.00,2406,9.72,1.85,1.10
25-November-2020,155.80,155.95,151.00,152.50,154.104139413193795552,21404,541,3298445.00,7168,33.49,4.95,-3.30
24-November-2020,157.60,157.70,152.15,155.35,156.073782587309394982,14231,216,2221086.00,2544,17.88,5.55,-2.25
23-November-2020,149.00,158.65,149.00,157.10,155.541282934251621686,24974,841,3884488.00,7417,29.70,9.65,8.10
20-November-2020,156.00,158.30,154.00,155.05,155.862109717509816629,26231,534,4088419.00,8395,32.00,4.30,-0.95
19-November-2020,158.00,159.50,155.50,158.00,157.041523376438823362,35185,893,5525506.00,11440,32.51,4.00,0.00
18-November-2020,160.00,160.00,155.25,156.80,156.402669632925472747,16182,289,2530908.00,4432,27.39,4.75,-3.20
17-November-2020,156.20,164.90,156.20,158.10,159.051698791244691277,12244,388,1947429.00,6754,55.16,8.70,1.90
14-November-2020,160.00,163.95,158.65,160.30,161.225683797375199313,16306,460,2628946.00,3291,20.18,5.30,0.30
13-November-2020,154.05,163.00,154.05,157.75,158.802067909754812156,39847,848,6327786.00,12688,31.84,8.95,3.70
12-November-2020,164.00,164.00,152.10,156.80,157.125799685369690613,19070,512,2996389.00,7630,40.01,11.90,-7.20
11-November-2020,160.00,163.00,149.50,157.45,157.866382616105666808,46940,1004,7410248.00,20164,42.96,13.50,-2.55
