Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-January-2021,202.25,202.25,199.50,200.15,200.704322766570605187,1735,106,348222.00,875,50.43,2.75,-2.10
5-January-2021,198.80,202.45,195.60,202.25,199.847656250000000000,256,28,51161.00,196,76.56,6.85,3.45
4-January-2021,203.25,203.25,200.15,202.20,201.048145224940805051,1267,65,254728.00,1225,96.68,3.10,-1.05
1-January-2021,198.75,205.00,198.70,200.95,201.715294117647058823,425,56,85729.00,279,65.65,6.30,2.20
31-December-2020,200.55,206.65,198.25,204.00,200.981518058690744920,7088,253,1424557.00,2190,30.90,8.40,3.45
30-December-2020,205.90,205.90,195.35,198.20,200.106873111782477341,7944,321,1589649.00,1329,16.73,10.55,-7.70
29-December-2020,207.70,208.20,198.45,200.60,204.150289017341040462,346,77,70636.00,267,77.17,9.75,-7.10
28-December-2020,207.00,213.60,202.85,205.75,206.217099236641221374,6550,402,1350722.00,1985,30.31,10.75,-1.25
24-December-2020,204.20,204.40,197.05,201.20,199.632294617563739376,3530,133,704702.00,724,20.51,7.35,-3.00
23-December-2020,199.25,203.00,196.00,198.65,198.384019241047568145,3742,250,742353.00,1896,50.67,7.00,-0.60
22-December-2020,207.00,207.00,191.00,196.90,196.767728168089297439,6092,223,1198709.00,1591,26.12,16.00,-10.10
21-December-2020,195.20,206.80,195.20,199.90,203.194073312778348749,5838,295,1186247.00,1983,33.97,11.60,4.70
18-December-2020,214.90,214.90,195.00,207.05,204.798189099773637471,5743,344,1176156.00,2697,46.96,19.90,-7.85
17-December-2020,212.00,216.00,201.00,204.70,206.843714609286523216,1766,118,365286.00,1159,65.63,15.00,-7.30
16-December-2020,205.10,212.00,195.00,209.50,208.146187011587173268,7422,555,1544861.00,6009,80.96,17.00,4.40
15-December-2020,200.00,200.65,197.30,200.30,200.084615384615384615,260,31,52022.00,257,98.85,3.35,0.30
14-December-2020,204.15,204.15,198.00,198.60,199.652482269503546099,564,55,112604.00,488,86.52,6.15,-5.55
11-December-2020,197.05,204.95,197.05,199.10,200.076487252124645892,353,66,70627.00,252,71.39,7.90,2.05
10-December-2020,207.90,207.90,196.25,202.20,200.461912479740680713,617,78,123685.00,477,77.31,11.65,-5.70
9-December-2020,197.05,216.00,197.05,203.30,207.794992175273865414,2556,346,531124.00,1954,76.45,18.95,6.25
8-December-2020,199.15,218.25,195.80,214.60,206.497028464185173600,3197,310,660171.00,2247,70.28,22.45,15.45
7-December-2020,193.55,209.80,187.80,193.50,190.060885608856088560,1084,35,206026.00,926,85.42,22.00,-0.05
4-December-2020,193.85,195.10,192.55,193.90,193.887096774193548387,62,15,12021.00,57,91.94,2.55,0.05
3-December-2020,199.65,199.65,193.70,194.50,196.201780415430267062,337,30,66120.00,316,93.77,5.95,-5.15
2-December-2020,199.70,199.70,194.30,194.30,195.378238341968911917,193,15,37708.00,142,73.58,5.40,-5.40
1-December-2020,199.15,199.15,193.40,194.50,196.283919597989949748,398,23,78121.00,337,84.67,5.75,-4.65
27-November-2020,191.55,200.05,191.55,195.65,196.466666666666666666,225,44,44205.00,212,94.22,8.50,4.10
26-November-2020,199.00,205.20,190.05,196.10,193.112676056338028169,71,12,13711.00,66,92.96,15.15,-2.90
25-November-2020,199.00,199.20,195.00,195.70,195.913279132791327913,738,42,144584.00,717,97.15,4.20,-3.30
24-November-2020,200.00,204.00,196.25,201.45,197.836606060606060606,4125,125,816076.00,726,17.60,7.75,1.45
23-November-2020,197.05,201.95,195.50,198.95,197.716586151368760064,621,52,122782.00,282,45.41,6.45,1.90
20-November-2020,199.45,199.45,193.95,194.50,197.718750000000000000,96,28,18981.00,68,70.83,5.50,-4.95
19-November-2020,194.50,199.05,193.80,195.90,195.463735502856153712,5777,196,1129194.00,5240,90.70,5.25,1.40
18-November-2020,197.00,197.00,193.20,194.35,194.468480424684804246,1507,92,293064.00,1336,88.65,3.80,-2.65
17-November-2020,186.10,202.50,183.00,199.00,196.575274438055410350,7652,432,1504194.00,5285,69.07,19.50,12.90
14-November-2020,186.05,208.80,186.00,193.05,194.435736677115987460,1276,93,248100.00,830,65.05,22.80,7.00
13-November-2020,204.30,204.30,178.90,195.75,192.845316313121832175,5327,563,1027287.00,2765,51.91,25.40,-8.55
12-November-2020,204.30,211.30,204.20,209.30,210.451086956521739130,368,48,77446.00,296,80.43,7.10,5.00
11-November-2020,210.80,217.70,205.10,209.20,213.410810810810810810,185,35,39481.00,138,74.59,12.60,-1.60
10-November-2020,214.45,216.10,208.90,210.80,210.422077922077922077,308,38,64810.00,286,92.86,7.20,-3.65
9-November-2020,225.00,225.00,210.75,211.00,213.496886000541565123,3693,193,788444.00,1124,30.44,14.25,-14.00
6-November-2020,217.00,219.15,205.55,210.90,214.705737126734070068,8506,353,1826287.00,1045,12.29,13.60,-6.10
5-November-2020,212.70,213.40,209.00,209.70,210.995898487567290438,3901,189,823095.00,995,25.51,4.40,-3.00
4-November-2020,211.00,212.10,204.30,206.55,209.039119804400977995,4090,246,854970.00,1258,30.76,7.80,-4.45
3-November-2020,217.00,219.15,210.55,213.15,214.410372040586245772,887,156,190182.00,811,91.43,8.60,-3.85
2-November-2020,213.00,213.95,208.55,209.60,210.126882320133853876,3586,118,753515.00,987,27.52,5.40,-3.40
30-October-2020,214.45,215.25,205.30,210.20,209.914509331727874774,1661,213,348668.00,1150,69.24,9.95,-4.25
29-October-2020,216.20,221.50,215.85,218.45,217.924017467248908296,1145,205,249523.00,967,84.45,5.65,2.25
28-October-2020,219.00,223.00,206.70,218.30,215.202540106951871657,5984,272,1287772.00,851,14.22,16.30,-0.70
27-October-2020,219.00,219.00,213.10,216.80,215.007941176470588235,3400,168,731027.00,987,29.03,5.90,-2.20
26-October-2020,223.15,223.40,213.00,213.00,215.630977130977130977,3848,162,829748.00,1207,31.37,10.40,-10.15
23-October-2020,216.10,220.95,208.10,217.85,213.784067085953878406,477,89,101975.00,336,70.44,12.85,1.75
22-October-2020,209.95,216.35,209.90,214.50,212.896117216117216117,6825,393,1453016.00,1636,23.97,6.45,4.55
21-October-2020,220.10,220.10,207.80,211.70,214.624072281381090674,6198,264,1330240.00,967,15.60,12.30,-8.40
20-October-2020,227.15,227.15,215.10,215.55,224.409097847656846283,6551,356,1470104.00,2314,35.32,12.05,-11.60
19-October-2020,233.00,235.00,220.95,224.95,228.853972798854688618,4191,258,959127.00,1300,31.02,14.05,-8.05
16-October-2020,234.60,234.60,218.05,228.55,228.625788999098286744,1109,161,253546.00,954,86.02,16.55,-6.05
15-October-2020,231.95,231.95,224.05,226.85,227.399961187657675140,5153,197,1171792.00,603,11.70,7.90,-5.10
14-October-2020,238.20,238.35,229.00,231.65,235.120192307692307692,208,46,48905.00,187,89.90,9.35,-6.55
13-October-2020,190.40,239.20,190.40,233.80,233.430104712041884816,3820,426,891703.00,2154,56.39,48.80,43.40
